Position,Age,#days,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
Catcher,29.026315789473685,603.6973684210526,74.28947368421052,252.56578947368422,225.56578947368422,27.69736842105263,53.63157894736842,10.223684210526315,0.39473684210526316,8.93421052631579,30.144736842105264,21.57894736842105,1.263157894736842,60.10526315789474,3.0526315789473686,0.7105263157894737,1.618421052631579,5.75,0.7236842105263158,0.2894736842105263,0.22759210526315785,0.2975526315789473,0.386263157894737,0.6837368421052631
Centerfielder,27.428571428571427,616.7380952380952,93.66666666666667,326.23809523809524,291.0952380952381,43.023809523809526,70.23809523809524,14.69047619047619,1.6904761904761905,9.80952380952381,34.0,26.952380952380953,1.1904761904761905,76.85714285714286,4.642857142857143,1.5238095238095237,1.8571428571428572,4.976190476190476,8.857142857142858,2.5952380952380953,0.233452380952381,0.3051190476190476,0.38852380952380955,0.6935714285714285
Designated,28.666666666666668,620.8333333333334,88.83333333333333,360.0,316.3333333333333,47.5,81.66666666666667,15.333333333333334,1.0,18.666666666666668,55.666666666666664,36.666666666666664,1.1666666666666667,84.5,4.166666666666667,0.0,2.5,5.666666666666667,2.1666666666666665,0.5,0.24816666666666665,0.33299999999999996,0.43999999999999995,0.773
First Baseman,28.695652173913043,603.304347826087,111.5,423.4130434782609,371.0,53.56521739130435,93.19565217391305,18.934782608695652,1.0,18.782608695652176,57.869565217391305,44.58695652173913,2.5434782608695654,100.6304347826087,4.760869565217392,0.021739130434782608,2.891304347826087,8.826086956521738,1.6956521739130435,0.7391304347826086,0.24241304347826087,0.3240434782608696,0.4444347826086956,0.768478260869565
Leftfielder,27.51851851851852,603.1851851851852,100.03703703703704,374.74074074074076,336.8888888888889,47.851851851851855,88.37037037037037,19.22222222222222,1.9259259259259258,14.25925925925926,50.55555555555556,31.185185185185187,1.4444444444444444,78.5925925925926,3.5555555555555554,0.2962962962962963,2.6296296296296298,6.592592592592593,3.6296296296296298,1.1481481481481481,0.25574074074074077,0.32140740740740736,0.44400000000000006,0.7654814814814815
Outfielder,27.11111111111111,610.6543209876543,91.41975308641975,323.65432098765433,288.6296296296296,44.34567901234568,75.51851851851852,15.37037037037037,1.9382716049382716,12.234567901234568,38.93827160493827,28.358024691358025,1.382716049382716,75.54320987654322,4.172839506172839,0.7530864197530864,1.6790123456790123,5.395061728395062,6.135802469135802,1.6049382716049383,0.24825925925925918,0.32092592592592584,0.42414814814814816,0.7450370370370369
Pinch,27.083333333333332,609.0,64.25,147.33333333333334,131.66666666666666,18.916666666666668,31.583333333333332,6.833333333333333,0.75,3.75,14.75,13.0,0.16666666666666666,36.833333333333336,1.3333333333333333,0.3333333333333333,0.9166666666666666,2.6666666666666665,2.3333333333333335,0.9166666666666666,0.23249999999999996,0.29950000000000004,0.3700833333333333,0.6693333333333333
Pitcher,27.642857142857142,598.8214285714286,31.928571428571427,68.82142857142857,61.25,4.357142857142857,8.571428571428571,1.25,0.03571428571428571,0.8928571428571429,4.571428571428571,2.5357142857142856,0.03571428571428571,28.035714285714285,0.42857142857142855,4.392857142857143,0.21428571428571427,0.7142857142857143,0.17857142857142858,0.03571428571428571,0.13132142857142856,0.16371428571428576,0.17735714285714285,0.341
Rightfielder,28.35483870967742,610.2903225806451,109.09677419354838,434.5806451612903,384.5483870967742,60.12903225806452,99.58064516129032,19.451612903225808,1.2580645161290323,21.06451612903226,58.70967741935484,42.12903225806452,2.0,102.29032258064517,4.032258064516129,0.3225806451612903,3.161290322580645,8.225806451612904,5.064516129032258,1.1290322580645162,0.24616129032258066,0.32080645161290317,0.45445161290322594,0.7752258064516129
Second Baseman,27.573529411764707,602.7647058823529,91.27941176470588,332.61764705882354,300.5882352941176,41.39705882352941,79.27941176470588,15.838235294117647,1.6764705882352942,9.823529411764707,36.838235294117645,25.720588235294116,0.9705882352941176,65.58823529411765,3.4705882352941178,0.8382352941176471,1.911764705882353,5.397058823529412,4.411764705882353,1.4411764705882353,0.2530588235294118,0.3164558823529411,0.4049117647058822,0.7213088235294117
Shortstop,26.678571428571427,604.8571428571429,107.26785714285714,418.375,381.64285714285717,54.32142857142857,102.08928571428571,21.25,2.4464285714285716,13.946428571428571,49.32142857142857,29.732142857142858,1.3214285714285714,84.35714285714286,3.3392857142857144,0.8035714285714286,2.8035714285714284,8.089285714285714,8.071428571428571,2.5,0.25444642857142863,0.3100714285714285,0.42126785714285725,0.7313214285714287
Third Baseman,27.69811320754717,606.9811320754717,104.71698113207547,397.58490566037733,353.41509433962267,52.698113207547166,92.98113207547169,19.830188679245282,1.7169811320754718,17.07547169811321,53.660377358490564,36.9811320754717,1.9433962264150944,84.49056603773585,4.283018867924528,0.24528301886792453,2.660377358490566,8.39622641509434,2.9245283018867925,0.8301886792452831,0.25026415094339627,0.32298113207547174,0.4385283018867925,0.7615471698113208
