,Name,IP,HRM,ERA
159,Nathan Eovaldi,55.1,1.1796733212341197,4.39
629,Brandon Woodruff,64.0,1.96875,1.41
472,Carlos Rodon,48.2,1.9917012448132778,1.29
205,Kyle Gibson,60.1,2.8951747088186357,2.24
480,Trevor Rogers,56.2,3.0427046263345194,1.75
349,Carlos Martinez,53.1,3.0508474576271185,4.22
203,Kevin Gausman,64.2,3.177570093457944,1.53
62,Matthew Boyd,57.2,3.2517482517482517,3.43
113,Gerrit Cole,64.2,3.6604361370716507,1.81
125,Yu Darvish,61.2,4.084967320261438,1.75
584,Jose Urena,54.1,4.1589648798521255,4.14
428,Freddy Peralta,49.2,4.268292682926829,2.54
610,Zack Wheeler,68.0,4.338235294117647,2.38
397,Joe Musgrove,55.2,4.3478260869565215,2.26
20,Ian Anderson,51.0,4.470588235294118,2.82
39,Chris Bassitt,70.0,4.642857142857143,3.21
93,Dylan Cease,51.1,4.7749510763209395,2.98
439,Nick Pivetta,53.2,4.81203007518797,3.86
293,Clayton Kershaw,64.1,4.867394695787832,2.94
176,Jack Flaherty,57.0,4.912280701754386,2.84
585,Julio Urias,62.1,4.959742351046699,3.03
325,Pablo Lopez,63.0,5.238095238095238,2.71
521,Brady Singer,47.2,5.2542372881355925,4.91
361,Lance McCullers Jr.,51.2,5.37109375,2.96
626,Alex Wood,48.0,5.5,2.44
368,John Means,65.1,5.529953917050692,1.79
492,Hyun Jin Ryu,53.1,5.536723163841808,2.53
304,Corey Kluber,53.1,5.555555555555555,3.04
465,Garrett Richards,54.0,5.703703703703703,3.83
552,Marcus Stroman,58.2,5.77319587628866,2.45
135,Anthony DeSclafani,56.0,5.892857142857143,3.54
294,Dallas Keuchel,54.2,5.99630996309963,4.28
71,Walker Buehler,58.1,6.058519793459553,2.78
387,Casey Mize,52.2,6.091954022988506,3.42
255,Rich Hill,52.0,6.1923076923076925,3.63
276,Cristian Javier,48.2,6.244813278008299,3.14
49,Jose Berrios,56.1,6.310160427807486,3.67
8,Sandy Alcantara,65.0,6.461538461538462,3.46
221,Jon Gray,57.2,6.503496503496503,3.43
396,Charlie Morton,52.0,6.576923076923077,3.98
179,Chris Flexen,47.2,6.673728813559322,4.34
73,Madison Bumgarner,53.2,6.7105263157894735,4.53
40,Trevor Bauer,69.2,6.791907514450867,2.07
391,Jordan Montgomery,53.1,6.854990583804143,4.22
272,Cole Irvin,57.1,6.935201401050788,3.92
506,Max Scherzer,63.1,6.9730586370839935,2.27
407,Aaron Nola,65.1,6.989247311827958,3.72
103,Aaron Civale,68.0,7.0588235294117645,3.04
212,Tyler Glasnow,70.0,7.2,2.57
214,Austin Gomber,53.1,7.382297551789077,4.56
155,Zach Eflin,63.1,7.432646592709984,3.84
337,Tyler Mahle,50.1,7.684630738522954,3.75
440,Zach Plesac,58.2,7.886597938144329,4.14
204,Domingo German,50.0,8.1,3.06
511,Antonio Senzatela,50.2,8.127490039840637,4.97
339,Sean Manaea,54.0,8.296296296296296,4.17
224,Zack Greinke,65.2,8.343558282208589,3.97
344,German Marquez,58.1,8.364888123924269,4.47
353,Steven Matz,54.2,8.394833948339484,4.28
635,Ryan Yarbrough,52.2,8.582375478927203,4.27
384,Mike Minor,54.0,8.74074074074074,4.83
474,Eduardo Rodriguez,48.0,8.75,5.06
296,Yusei Kikuchi,56.0,9.107142857142858,4.02
265,Adrian Houser,48.2,9.12863070539419,4.07
210,Lucas Giolito,55.2,9.130434782608695,4.04
596,Adam Wainwright,54.2,9.29889298892989,3.95
291,Merrill Kelly,57.2,9.51048951048951,4.84
55,Shane Bieber,72.0,9.75,3.13
22,Tyler Anderson,56.1,10.33868092691622,4.63
69,JT Brubaker,49.1,10.386965376782078,4.2
461,Robbie Ray,52.0,11.846153846153847,3.81
183,Mike Foltynewicz,55.2,12.554347826086955,4.53
332,Jordan Lyles,50.0,13.4,5.94
388,Frankie Montas,53.0,13.49056603773585,4.92
245,Kyle Hendricks,56.1,16.470588235294116,4.63
